loan_id,customer_id,product_type,effective_date,maturity_date,ead,pd_12m,origination_pd,lgd,days_past_due,forbearance_flag,remaining_months,recovery_cashflows,eir
1011,2011,home_loan,2023-08-03,2052-07-26,476724,0.0186,0.0167,0.38,10,N,352,"[9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534, 9534]",0.05
1012,2012,auto_loan,2024-04-21,2029-04-20,19409,0.0143,0.0122,0.43,10,N,60,"[388, 388, 388, 388, 388, 388, 388, 388, 388, 388, 388, 388, 388, 388, 388, 388, 388, 388, 388, 388, 388, 388, 388, 388, 388, 388, 388, 388, 388, 388, 388, 388, 388, 388, 388, 388, 388, 388, 388, 388, 388, 388, 388, 388, 388, 388, 388, 388, 388, 388, 388, 388, 388, 388, 388, 388, 388, 388, 388, 388]",0.05
1013,2013,auto_loan,2022-02-11,2025-02-10,29088,0.0139,0.0118,0.52,0,N,36,"[581, 581, 581, 581, 581, 581, 581, 581, 581, 581, 581, 581, 581, 581, 581, 581, 581, 581, 581, 581, 581, 581, 581, 581, 581, 581, 581, 581, 581, 581, 581, 581, 581, 581, 581, 581]",0.05
1014,2014,home_loan,2016-12-22,2032-12-18,325044,0.0072,0.0065,0.42,0,N,194,"[6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500, 6500]",0.06
1015,2015,home_loan,2022-08-15,2041-08-10,100820,0.0079,0.0071,0.35,30,N,231,"[2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016]",0.05
1016,2016,home_loan,2020-09-24,2037-09-20,422337,0.0129,0.0116,0.44,0,N,206,"[8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446, 8446]",0.06
1017,2017,home_loan,2016-05-10,2037-05-05,284977,0.0172,0.0155,0.38,0,N,255,"[5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699, 5699]",0.05
1018,2018,personal_loan,2016-05-02,2018-05-02,20765,0.0487,0.039,0.65,30,N,24,"[415, 415, 415, 415, 415, 415, 415, 415, 415, 415, 415, 415, 415, 415, 415, 415, 415, 415, 415, 415, 415, 415, 415, 415]",0.08
1019,2019,personal_loan,2017-01-18,2020-01-18,42399,0.0578,0.0462,0.75,60,Y,36,"[847, 847, 847, 847, 847, 847, 847, 847, 847, 847, 847, 847, 847, 847, 847, 847, 847, 847, 847, 847, 847, 847, 847, 847, 847, 847, 847, 847, 847, 847, 847, 847, 847, 847, 847, 847]",0.08
1020,2020,home_loan,2018-06-14,2028-06-11,318401,0.0106,0.0095,0.44,0,N,121,"[6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368, 6368]",0.06
1021,2021,personal_loan,2018-08-10,2023-08-09,17275,0.0584,0.0467,0.78,0,N,60,"[345, 345, 345, 345, 345, 345, 345, 345, 345, 345, 345, 345, 345, 345, 345, 345, 345, 345, 345, 345, 345, 345, 345, 345, 345, 345, 345, 345, 345, 345, 345, 345, 345, 345, 345, 345, 345, 345, 345, 345, 345, 345, 345, 345, 345, 345, 345, 345, 345, 345, 345, 345, 345, 345, 345, 345, 345, 345, 345, 345]",0.09
1022,2022,home_loan,2021-08-31,2035-08-28,448321,0.0135,0.0121,0.35,0,N,170,"[8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966, 8966]",0.05
1023,2023,home_loan,2022-10-01,2040-09-26,450337,0.0199,0.0179,0.43,0,N,219,"[9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006, 9006]",0.04
